NO.;PROGRAM STUDI;KLS;Link LJU
94;D-III Akuntansi;5-46;gg.gg/lju_d3akt_5-46
95;D-III Akuntansi;5-47;gg.gg/lju_d3akt_5-47
96;D-III Akuntansi;5-48;gg.gg/lju_d3akt_5-48
97;D-III Akuntansi;5-49;gg.gg/lju_d3akt_5-49
98;D-III Akuntansi;5-50;gg.gg/lju_d3akt_5-50
99;D-III Akuntansi;5-51;gg.gg/lju_d3akt_5-51
100;D-III Akuntansi;5-52;gg.gg/lju_d3akt_5-52
101;D-III Akuntansi;5-53;gg.gg/lju_d3akt_5-53
102;D-III Akuntansi;5-54;gg.gg/lju_d3akt_5-54
103;D-III Akuntansi;5-55;gg.gg/lju_d3akt_5-55
104;D-III Akuntansi;5-56;gg.gg/lju_d3akt_5-56
105;D-III Akuntansi;5-57;gg.gg/lju_d3akt_5-57
106;D-III Akuntansi;5-58;gg.gg/lju_d3akt_5-58
107;D-III Akuntansi;5-59;gg.gg/lju_d3akt_5-59
108;D-III Akuntansi Alih Program;3-01;gg.gg/lju_d3aktap_3-01
109;D-III Akuntansi Alih Program;5-01;gg.gg/lju_d3aktap_5-01
110;D-III Akuntansi Alih Program;5-02;gg.gg/lju_d3aktap_5-02
111;D-III Akuntansi Alih Program;5-03;gg.gg/lju_d3aktap_5-03
112;D-III Akuntansi Alih Program;5-04;gg.gg/lju_d3aktap_5-04
113;D-III Akuntansi Alih Program;5-05;gg.gg/lju_d3aktap_5-05
114;D-III Akuntansi Alih Program;5-06;gg.gg/lju_d3aktap_5-06
115;D-III Akuntansi Alih Program;5-07;gg.gg/lju_d3aktap_5-07
116;D-III Akuntansi Alih Program;5-08;gg.gg/lju_d3aktap_5-08
117;D-III Akuntansi Alih Program;5-09;gg.gg/lju_d3aktap_5-09
118;D-III Kebendaharaan Negara;3-01;gg.gg/lju_d3kbn_3-01
119;D-III Kebendaharaan Negara;3-02;gg.gg/lju_d3kbn_3-02
120;D-III Kebendaharaan Negara;3-03;gg.gg/lju_d3kbn_3-03
121;D-III Kebendaharaan Negara;3-04;gg.gg/lju_d3kbn_3-04
122;D-III Kebendaharaan Negara;3-05;gg.gg/lju_d3kbn_3-05
123;D-III Kebendaharaan Negara;3-06;gg.gg/lju_d3kbn_3-06
124;D-III Kebendaharaan Negara;3-07;gg.gg/lju_d3kbn_3-07
125;D-III Kebendaharaan Negara;3-08;gg.gg/lju_d3kbn_3-08
126;D-III Kebendaharaan Negara;3-09;gg.gg/lju_d3kbn_3-09
127;D-III Kebendaharaan Negara;3-10;gg.gg/lju_d3kbn_3-10
128;D-III Kebendaharaan Negara;5-01;gg.gg/lju_d3kbn_5-01
129;D-III Kebendaharaan Negara;5-02;gg.gg/lju_d3kbn_5-02
130;D-III Kebendaharaan Negara;5-03;gg.gg/lju_d3kbn_5-03
131;D-III Kebendaharaan Negara;5-04;gg.gg/lju_d3kbn_5-04
132;D-III Kebendaharaan Negara;5-05;gg.gg/lju_d3kbn_5-05
133;D-III Kebendaharaan Negara;5-06;gg.gg/lju_d3kbn_5-06
134;D-III Kebendaharaan Negara;5-07;gg.gg/lju_d3kbn_5-07
135;D-III Kebendaharaan Negara;5-08;gg.gg/lju_d3kbn_5-08
136;D-III Kebendaharaan Negara;5-09;gg.gg/lju_d3kbn_5-09
137;D-III Kebendaharaan Negara;5-10;gg.gg/lju_d3kbn_5-10
138;D-III Kebendaharaan Negara;5-11;gg.gg/lju_d3kbn_5-11
139;D-III Kebendaharaan Negara;5-12;gg.gg/lju_d3kbn_5-12
140;D-III Kebendaharaan Negara;5-13;gg.gg/lju_d3kbn_5-13
141;D-III Kebendaharaan Negara;5-14;gg.gg/lju_d3kbn_5-14
142;D-III Kebendaharaan Negara;5-15;gg.gg/lju_d3kbn_5-15
143;D-III Kebendaharaan Negara;5-16;gg.gg/lju_d3kbn_5-16
144;D-III Kebendaharaan Negara;5-17;gg.gg/lju_d3kbn_5-17
145;D-III Kebendaharaan Negara;5-18;gg.gg/lju_d3kbn_5-18
146;D-III Kebendaharaan Negara;5-19;gg.gg/lju_d3kbn_5-19
147;D-III Kebendaharaan Negara;5-20;gg.gg/lju_d3kbn_5-20
148;D-III Kebendaharaan Negara;5-21;gg.gg/lju_d3kbn_5-21
149;D-III Kebendaharaan Negara Alih Program;5-01;gg.gg/lju_d3kbnap_5-01
150;D-III Kepabeanan dan Cukai;3-01;gg.gg/lju_d3bc_3-01
151;D-III Kepabeanan dan Cukai;5-01;gg.gg/lju_d3bc_5-01
152;D-III Kepabeanan dan Cukai;5-02;gg.gg/lju_d3bc_5-02
153;D-III Kepabeanan dan Cukai;5-03;gg.gg/lju_d3bc_5-03
154;D-III Kepabeanan dan Cukai;5-04;gg.gg/lju_d3bc_5-04
155;D-III Kepabeanan dan Cukai Alih Program;5-01;gg.gg/lju_d3bcap_5-01
156;D-III Kepabeanan dan Cukai Alih Program;5-02;gg.gg/lju_d3bcap_5-02
157;D-III Kepabeanan dan Cukai Alih Program;5-03;gg.gg/lju_d3bcap_5-03
158;D-III Kepabeanan dan Cukai Alih Program;5-04;gg.gg/lju_d3bcap_5-04
